rin	I(R19)-I(R20)	V(vout1)	V(voutf)
9.000000000000000e+01	9.609495e-04	8.649984e-02	1.876740e+00
9.050000000000000e+01	9.608575e-04	8.697198e-02	1.886939e+00
9.100000000000000e+01	9.607654e-04	8.744403e-02	1.897136e+00
9.150000000000000e+01	9.606734e-04	8.791599e-02	1.907332e+00
9.200000000000000e+01	9.605814e-04	8.838785e-02	1.917525e+00
9.250000000000000e+01	9.604894e-04	8.885963e-02	1.927717e+00
9.300000000000000e+01	9.603974e-04	8.933132e-02	1.937906e+00
9.350000000000000e+01	9.603055e-04	8.980291e-02	1.948094e+00
9.400000000000000e+01	9.602135e-04	9.027442e-02	1.958279e+00
9.450000000000000e+01	9.601216e-04	9.074584e-02	1.968463e+00
9.500000000000000e+01	9.600297e-04	9.121716e-02	1.978645e+00
9.550000000000000e+01	9.599378e-04	9.168839e-02	1.988825e+00
9.600000000000000e+01	9.598459e-04	9.215954e-02	1.999003e+00
9.650000000000000e+01	9.597540e-04	9.263059e-02	2.009178e+00
9.700000000000000e+01	9.596622e-04	9.310155e-02	2.019352e+00
9.750000000000000e+01	9.595704e-04	9.357243e-02	2.029524e+00
9.800000000000000e+01	9.594785e-04	9.404321e-02	2.039694e+00
9.850000000000000e+01	9.593867e-04	9.451391e-02	2.049862e+00
9.900000000000000e+01	9.592949e-04	9.498451e-02	2.060029e+00
9.950000000000000e+01	9.592032e-04	9.545502e-02	2.070193e+00
1.000000000000000e+02	9.591114e-04	9.592544e-02	2.080355e+00
1.005000000000000e+02	9.590197e-04	9.639578e-02	2.090515e+00
1.010000000000000e+02	9.589279e-04	9.686601e-02	2.100673e+00
1.015000000000000e+02	9.588362e-04	9.733617e-02	2.110830e+00
1.020000000000000e+02	9.587446e-04	9.780622e-02	2.120984e+00
1.025000000000000e+02	9.586529e-04	9.827620e-02	2.131137e+00
1.030000000000000e+02	9.585612e-04	9.874608e-02	2.141287e+00
1.035000000000000e+02	9.584695e-04	9.921587e-02	2.151436e+00
1.040000000000000e+02	9.583779e-04	9.968557e-02	2.161582e+00
1.045000000000000e+02	9.582863e-04	1.001552e-01	2.171727e+00
1.050000000000000e+02	9.581947e-04	1.006247e-01	2.181870e+00
1.055000000000000e+02	9.581031e-04	1.010941e-01	2.192011e+00
1.060000000000000e+02	9.580116e-04	1.015635e-01	2.202150e+00
1.065000000000000e+02	9.579200e-04	1.020327e-01	2.212287e+00
1.070000000000000e+02	9.578285e-04	1.025019e-01	2.222422e+00
1.075000000000000e+02	9.577370e-04	1.029710e-01	2.232555e+00
1.080000000000000e+02	9.576455e-04	1.034399e-01	2.242686e+00
1.085000000000000e+02	9.575540e-04	1.039088e-01	2.252815e+00
1.090000000000000e+02	9.574625e-04	1.043776e-01	2.262942e+00
1.095000000000000e+02	9.573710e-04	1.048464e-01	2.273067e+00
